title,stars,text
Pantai Tanjung Gelam,5,nan
Pantai Tanjung Gelam,5,pantai yang menakjubkan dengan pasirpasir putih good
Pantai Tanjung Gelam,5,pantai tanjung gelam merupakan salah satu pantai paling indah di karimunjawa pasirnya putih dan halus air lautnya sangat jernih dengan gradasi warna biru yang menenangkan suasananya cocok untuk bersantai berenang dan berfoto sunset di pantai ini sangat terkenal dan memang luar biasa indah akses menuju lokasi cukup mudah dan sudah ada warungwarung sederhana tempat yang wajib dikunjungi saat liburan ke karimunjawapantai yang cocok untuk bawa anak untuk berenang area dangkalnya luasbisa juga sewa watersport seperti banana boatjetskidll
Pantai Tanjung Gelam,5,salah satu pantai favorit bila ke karimunjawa karena berdekatan dengan pantai yang lain seperti sunset beach dan pantai batu topengdi pantai tanjung gelam kita bisa mendapatkan spot sunset juga terdapat spot favorit untuk berfoto di pohon kelapa yang tumbuh miring menjorok ke laut
Pantai Tanjung Gelam,5,pantai denganpasir putih yang bersih panorama laut membiru sedap di pandang mata spot sunset yang mempesona
Pantai Tanjung Gelam,5,the iconic tanjung gelam coconut trees
Pantai Tanjung Gelam,5,kemaleman saking g move on nya
Pantai Tanjung Gelam,4,htm 10kview untuk sunset bagus
Pantai Tanjung Gelam,5,tempat nyunset estetik di karimunjawa
Pantai Tanjung Gelam,5,pantai nya keren
Pantai Tanjung Gelam,2,watcouttt theres a jetski cheating
Pantai Tanjung Gelam,5,pantai dengan pemandangan ciamik banget apalagi sunset masuknya hanya 5rb perorang cuman jalannya kecil pake motor aja main cano cuman 50rb
Pantai Tanjung Gelam,5,pantainyaa baguss akses jalannya juga mudahh cuman gelap aja dikit view sunsetnya cakepp bisa main kano jetski penyewaan drone juga di pinggir pantai banyak warung2 jadi bisa makan kalo laper wkwk
Pantai Tanjung Gelam,5,kesini lihat sunset antri foto di kelapa miring panjangbanyk warung kelapa muda enak joss mantab buah besar2
Pantai Tanjung Gelam,5,spot foto ketika sedang mencari sunset yang paling ciamik buaguussss bangetpasir nya juga putih bersih apalagi pohon kelapa yang miring harus rela antri buat dapetin hasil foto dengan view yang bagus
Pantai Tanjung Gelam,5,best spot sunset sih ini tempat
Pantai Tanjung Gelam,5,part of karimun jawa island and this place most beautiful everywhere you see w view sunset
Pantai Tanjung Gelam,5,baguus banget pantainya ada icon pohon kelapa yg melengkung mjd unik utk foto2 htm idr 10000 pasirnya bagus dan lembutenak jg buat berenang serta lihat sunset
Pantai Tanjung Gelam,5,amazing karimunjawa island
Pantai Tanjung Gelam,5,pantai dengan pohon kelapa miringdan sunset bagus
Pantai Tanjung Gelam,5,a nice place to enjoy the sunset
