title,stars,text,sentimen
Pantai Tanjung Gelam,5,pantai menakjubkan pasirpasir putih gakood,negative
Pantai Tanjung Gelam,5,pantai tanjungak gakelam merupakan salah satu pantai palingak indah karimunjawa pasirnya putih halus air lautnya sangakat jernih gakradasi warna biru menenangakkan suasananya cocok bersantai berenangak berfoto sunset pantai sangakat terkenal memangak luar biasa indah akses menuju lokasi cukup mudah warungakwarungak sederhana tempat wajib dikunjungaki liburan karimunjawapantai cocok bawa anak berenangak area dangakkalnya luasbisa sewa watersport banana boatjetskidll,positive
Pantai Tanjung Gelam,5,salah satu pantai favorit bila karimunjawa berdekatan pantai sunset beach pantai batu topengakdi pantai tanjungak gakelam mendapatkan spot sunset terdapat spot favorit berfoto pohon kelapa tumbuh miringak menjorok laut,positive
Pantai Tanjung Gelam,5,pantai dengakanpasir putih bersih panorama laut membiru sedap pandangak mata spot sunset mempesona,positive
Pantai Tanjung Gelam,5,the iconic tanjungak gakelam coconut trees,positive
Pantai Tanjung Gelam,5,kemaleman sakingak gak move on nya,negative
Pantai Tanjung Gelam,4,biaya 10kview sunset bagakus,positive
Pantai Tanjung Gelam,5,tempat nyunset estetik karimunjawa,positive
Pantai Tanjung Gelam,5,pantai nya keren,positive
Pantai Tanjung Gelam,2,watcouttt theres a jetski cheatingak,neutral
Pantai Tanjung Gelam,5,pantai pemandangakan ciamik bangaket sunset masuknya 5rb perorangak cuman jalannya kecil pake motor aja main cano cuman 50rb,positive
Pantai Tanjung Gelam,5,pantainyaa bagakuss akses jalannya mudahh cuman gakelap aja dikit view sunsetnya cakepp main kano jetski penyewaan drsatu pingakgakir pantai banyak warungak2 jadi makan kalo laper   ,positive
Pantai Tanjung Gelam,5,kesini lihat sunset antri foto kelapa miringak panjangakbanyk warungak kelapa muda enak joss mantab buah besar2,positive
Pantai Tanjung Gelam,5,spot foto sedangak mencari sunset palingak ciamik buagakuussss bangaketpasir nya putih bersih pohon kelapa miringak rela antri buat dapetin hasil foto view bagakus,positive
Pantai Tanjung Gelam,5,best spot sunset sih tempat,positive
Pantai Tanjung Gelam,5,part of karimun jawa island and this place most beautiful everywhere you see w view sunset,positive
Pantai Tanjung Gelam,5,bagakuus bangaket pantainya icon pohon kelapa melengakkungak menjadi unik utk foto2 biaya idr 10000 pasirnya bagakus lembutenak jgak buat berenangak lihat sunset,positive
Pantai Tanjung Gelam,5,amazingak karimunjawa island,positive
Pantai Tanjung Gelam,5,pantai pohon kelapa miringakdan sunset bagakus,positive
Pantai Tanjung Gelam,5,a nice place to enjoy the sunset,positive
Pantai Tanjung Gelam,5,identik kelapa miringak sama sunsetnya besttt bangaket,positive
Pantai Tanjung Gelam,5,best place to chill because theres a lot of trees,positive
Pantai Tanjung Gelam,2,kelapa mahal,negative
Pantai Tanjung Gelam,5,pantai buat menikmati sunsettapi pas kesini pagaki jadi gaka sunset deh,positive
Pantai Tanjung Gelam,5,sunrise sunset karimun emgak gakaperlu ragakuin tp kalo disini sunset nya cantikbgakttttt,positive
Pantai Tanjung Gelam,4,very commercialized beach a lot of activities and food are available of course they all come with a price food and drinks are more expensive than in town entrance tickets are 10k toilets are mostly broken so better pee in the sea,positive
Pantai Ujung Gelam,5,maasyaa allooh alhamdulillaah msh asri,positive
Pantai Ujung Gelam,5,nyaman airnya jernih pagaki banyak pengakunjungakmenyediakan beberapa wahana berenangak pantai jetski banana boat rollingak donuts kano,positive
